Sign,Unicode,Transliteration,Keystrokes
𒆻,U+121BB,LAGAB x A + GAR,lagab.a.gar
𒆼,U+121BC,LAGAB x A + LAL,lagab.a.lal
𒆽,U+121BD,LAGAB x AL,lagab.al
𒆾,U+121BE,LAGAB x AN,lagab.an
𒆿,U+121BF,LAGAB x AŠ ZIDA tenû,lagab.ash.zida
𒇀,U+121C0,LAGAB x BAD,lagab.bad
𒇁,U+121C1,LAGAB x BI,lagab.bi
𒇂,U+121C2,LAGAB x DAR,lagab.dar
𒇃,U+121C3,LAGAB x EN,lagab.en
𒇄,U+121C4,LAGAB x GA,lagab.ga
𒇅,U+121C5,LAGAB x GAR,lagab.gar
𒎈,U+12388,LAGAB x GI,lagab.gi
𒇆,U+121C6,LAGAB x GUD,lagab.gud
𒇇,U+121C7,LAGAB x GUD + GUD,lagab.gud.gud
𒇈,U+121C8,LAGAB x ḪA,lagab.ha
𒇉,U+121C9,LAGAB x ḪAL,lagab.hal
𒇊,U+121CA,LAGAB x ḪI x NUN,lagab.hi.nun
𒇋,U+121CB,LAGAB x IGI gunû,lagab.igi
𒇌,U+121CC,LAGAB x IM,lagab.im
𒇍,U+121CD,LAGAB x IM + ḪA,lagab.im.ha
𒇎,U+121CE,LAGAB x IM + LU,lagab.im.lu
𒇏,U+121CF,LAGAB x KI,lagab.ki
𒇐,U+121D0,LAGAB x KIN,lagab.kin
𒇑,U+121D1,LAGAB x KU3,lagab.ku3
𒇒,U+121D2,LAGAB x KUL,lagab.kul
𒇓,U+121D3,LAGAB x KUL + ḪI + A,lagab.kul.hi.a
𒇔,U+121D4,LAGAB x LAGAB,lagab.lagab
𒇕,U+121D5,LAGAB x LIŠ,lagab.lish
𒇖,U+121D6,LAGAB x LU,lagab.lu
𒇗,U+121D7,LAGAB x LUL,lagab.lul
𒇘,U+121D8,LAGAB x ME,lagab.me
𒇙,U+121D9,LAGAB x ME + EN,lagab.me.en
𒇚,U+121DA,LAGAB x MUŠ,lagab.mush
𒇛,U+121DB,LAGAB x NE,lagab.ne
𒇜,U+121DC,LAGAB x ŠE + SUM,lagab.she.sum
𒇞,U+121DE,LAGAB x ŠITA + GIŠ tenû,lagab.shita.gish
𒇝,U+121DD,LAGAB x ŠITA + GIŠ + ERIN2,lagab.shita.gish.erin2
𒇟,U+121DF,LAGAB x ŠU2,lagab.shu2
𒇠,U+121E0,LAGAB x ŠU2 + ŠU2,lagab.shu2.shu2
𒇡,U+121E1,LAGAB x SUM,lagab.sum
𒇢,U+121E2,LAGAB x TAG,lagab.tag
𒇣,U+121E3,LAGAB x TAK4,lagab.tak4
𒇤,U+121E4,LAGAB x TE + A + SU + NA,lagab.te.a.su.na
𒇥,U+121E5,LAGAB x U,lagab.u
𒇦,U+121E6,LAGAB x U + A,lagab.u.a
𒇧,U+121E7,LAGAB x U + U + U,lagab.u.u.u
𒇨,U+121E8,LAGAB x U2 + AŠ,lagab.u2.ash
𒇩,U+121E9,LAGAB x UD,lagab.ud
𒇪,U+121EA,LAGAB x UŠ,lagab.ush
𒇯,U+121EF,LAGAR gunû,lagar
𒇬,U+121EC,LAGAR,lagar
𒇰,U+121F0,LAGAR gunû / LAGAR gunû ŠE,lagar.lagar.she
𒇭,U+121ED,LAGAR x ŠE,lagar.she
𒇮,U+121EE,LAGAR x ŠE + SUM,lagar.she.sum
𒇱,U+121F1,LAḪŠU,lahshu
𒇲,U+121F2,LAL,lal
𒇳,U+121F3,LAL x LAL,lal.lal
𒇴,U+121F4,LAM,lam
𒇵,U+121F5,LAM x KUR,lam.kur
𒇶,U+121F6,LAM x KUR + RU,lam.kur.ru
𒇷,U+121F7,LI,li
𒇸,U+121F8,LIL,lil
𒇹,U+121F9,LIMMU2,limmu2
𒇺,U+121FA,LIŠ,lish
𒇻,U+121FB,LU,lu
𒇼,U+121FC,LU x BAD,lu.bad
𒈑,U+12211,LU2 tenû,lu2
𒈔,U+12214,LU2 squared,lu2
𒇽,U+121FD,LU2,lu2
𒈕,U+12215,LU2 šešig,lu2
𒇾,U+121FE,LU2 x AL,lu2.al
𒇿,U+121FF,LU2 x BAD,lu2.bad
